"mismatch_order","split","order","gt_count","pred_count","extra_predictions","missing_predictions","abs_count_diff","image","output"
"156","val","105","8","6","-2","2","2","E:\mastercode\data\test\images\val\IMG_20260706_103730.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_103730_val_gt08_pred06_diff02_extra-02.jpg"
"157","val","107","2","3","1","0","1","E:\mastercode\data\test\images\val\IMG_20260706_103735.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_103735_val_gt02_pred03_diff01_extra+01.jpg"
"158","val","108","3","4","1","0","1","E:\mastercode\data\test\images\val\IMG_20260706_103738.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_103738_val_gt03_pred04_diff01_extra+01.jpg"
"159","val","111","4","3","-1","1","1","E:\mastercode\data\test\images\val\IMG_20260706_103750.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_103750_val_gt04_pred03_diff01_extra-01.jpg"
"160","train","249","4","5","1","0","1","E:\mastercode\data\test\images\train\IMG_20260706_103815.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_103815_train_gt04_pred05_diff01_extra+01.jpg"
"161","train","250","7","5","-2","2","2","E:\mastercode\data\test\images\train\IMG_20260706_103818.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_103818_train_gt07_pred05_diff02_extra-02.jpg"
"162","train","252","1","3","2","0","2","E:\mastercode\data\test\images\train\IMG_20260706_103824.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_103824_train_gt01_pred03_diff02_extra+02.jpg"
"163","train","253","1","2","1","0","1","E:\mastercode\data\test\images\train\IMG_20260706_103827.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_103827_train_gt01_pred02_diff01_extra+01.jpg"
"164","train","255","2","3","1","0","1","E:\mastercode\data\test\images\train\IMG_20260706_103855.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_103855_train_gt02_pred03_diff01_extra+01.jpg"
"165","train","259","19","12","-7","7","7","E:\mastercode\data\test\images\train\IMG_20260706_103910.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_103910_train_gt19_pred12_diff07_extra-07.jpg"
