epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,193.673,1.23189,0.14945,0.35807,1.43937,1.18724,0.28942,0.22508,0.27187,0.17488,0.28236,0.20802,0.25636,0.25556,1.50936,0.92546,0.34887,1.97526,1.37451,0.000970736,0.000970736,0.000970736
68,196.679,1.31166,0.08368,0.34234,1.46461,1.15993,0.31757,0.335,0.24247,0.16254,0.51021,0.30324,0.19922,0.19896,1.47419,0.92799,0.33866,1.88575,1.34404,0.000969852,0.000969852,0.000969852
69,199.587,1.18472,0.10724,0.31359,1.39334,1.12623,0.49914,0.335,0.26391,0.16168,0.49692,0.32324,0.1985,0.19781,1.48375,0.92604,0.33942,1.85223,1.34268,0.000968955,0.000968955,0.000968955
70,202.469,1.23229,0.19336,0.43514,1.47442,1.15519,0.49215,0.28912,0.21736,0.1415,0.48938,0.27735,0.19153,0.18907,1.48582,0.92526,0.35183,1.9269,1.3657,0.000968045,0.000968045,0.000968045
71,205.361,1.22378,0.11019,0.35537,1.40118,1.15855,0.53353,0.28912,0.19872,0.12835,0.50477,0.26324,0.18307,0.17835,1.48459,0.92578,0.36492,1.86474,1.37763,0.000967122,0.000967122,0.000967122
72,208.266,1.21283,0.18018,0.36254,1.44922,1.15765,0.5842,0.22735,0.21768,0.12865,0.51146,0.38735,0.19151,0.1906,1.56108,0.92562,0.36115,2.00695,1.43213,0.000966187,0.000966187,0.000966187
73,211.124,1.23289,0.17852,0.42989,1.4401,1.15152,0.58935,0.24735,0.22306,0.14685,0.51915,0.35647,0.1902,0.18675,1.41431,0.9289,0.34683,1.88615,1.37941,0.000965239,0.000965239,0.000965239
74,214.003,1.21114,0.10127,0.35542,1.40502,1.14334,0.55699,0.28735,0.23891,0.15464,0.5396,0.24147,0.19806,0.19583,1.44158,0.92894,0.34688,1.88023,1.3627,0.000964279,0.000964279,0.000964279
75,216.872,1.2444,0.12966,0.41329,1.52738,1.18841,0.55736,0.27235,0.21919,0.14339,0.54699,0.24647,0.20661,0.20495,1.53399,0.92662,0.35236,1.94247,1.39437,0.000963306,0.000963306,0.000963306
76,219.774,1.24244,0.12477,0.39974,1.43516,1.19475,0.16023,0.4,0.23817,0.16242,0.151,0.37339,0.20797,0.20443,1.43463,0.92718,0.34772,1.80484,1.35824,0.00096232,0.00096232,0.00096232
77,222.667,1.20822,0.17453,0.32827,1.43505,1.14387,0.38211,0.34088,0.24962,0.16614,0.14916,0.37824,0.22435,0.22218,1.47178,0.92462,0.37394,1.85096,1.38644,0.000961322,0.000961322,0.000961322
78,225.65,1.25631,0.16758,0.37526,1.40624,1.19264,0.35817,0.25235,0.2416,0.15983,0.12169,0.33116,0.22143,0.21825,1.42275,0.9271,0.38542,1.88828,1.35976,0.000960312,0.000960312,0.000960312
79,228.491,1.22876,0.112,0.35081,1.36323,1.15565,0.33859,0.26412,0.24011,0.15247,0.31462,0.23235,0.22864,0.2248,1.44555,0.94215,0.38123,1.84979,1.34954,0.000959289,0.000959289,0.000959289
80,231.359,1.19819,0.04008,0.32947,1.36978,1.14767,0.1172,0.33412,0.21686,0.14293,0.56639,0.18971,0.20601,0.2031,1.55397,0.92674,0.3668,1.96223,1.39239,0.000958253,0.000958253,0.000958253
81,234.28,1.26153,0.12263,0.38507,1.40579,1.22738,0.12498,0.39,0.20698,0.14363,0.1155,0.39793,0.19511,0.19199,1.47258,0.93981,0.3536,1.91146,1.3747,0.000957205,0.000957205,0.000957205
82,237.162,1.27473,0.06399,0.37959,1.37291,1.21154,0.12177,0.32919,0.1958,0.13614,0.11103,0.32735,0.19268,0.1865,1.49792,0.93254,0.3569,1.84156,1.35985,0.000956145,0.000956145,0.000956145
