epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
67,5578.41,0.9583,1.50635,0.6425,1.2834,0,0.86301,0.67005,0.7681,0.49527,0.8563,0.66518,0.75755,0.4594,1.40004,2.30235,1.1116,1.76862,0,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
68,5657.41,0.94775,1.47595,0.63141,1.26985,0,0.78062,0.55436,0.62783,0.41038,0.7715,0.54654,0.61357,0.38034,1.56756,2.47713,1.29835,1.95031,0,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789
69,5736.29,0.94717,1.47003,0.62143,1.27378,0,0.82339,0.63128,0.71199,0.46603,0.81847,0.61989,0.70071,0.42997,1.41956,2.41201,1.39144,1.78938,0,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
70,5815.56,0.95854,1.50429,0.62917,1.28817,0,0.85901,0.69952,0.78554,0.49947,0.85501,0.69415,0.77848,0.46817,1.43152,2.28598,0.99716,1.8373,0,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
71,5894.41,0.93346,1.45552,0.61443,1.27058,0,0.85276,0.73094,0.81358,0.54006,0.85959,0.71001,0.80209,0.50039,1.31483,2.19808,0.95583,1.69808,0,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
72,5973.05,0.942,1.46119,0.61781,1.26635,0,0.84472,0.70344,0.79067,0.47604,0.83683,0.69589,0.77968,0.44217,1.5558,2.4468,0.99225,1.9734,0,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657
73,6051.71,0.93334,1.44402,0.61537,1.27108,0,0.85963,0.72799,0.82002,0.53219,0.85073,0.72045,0.80521,0.49352,1.36005,2.22446,0.9769,1.72822,0,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
74,6130.36,0.92801,1.44861,0.61334,1.25971,0,0.82731,0.61786,0.71379,0.46078,0.8176,0.61061,0.70203,0.429,1.45115,2.48404,1.24951,1.83982,0,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591
75,6210.11,0.93692,1.46035,0.62565,1.27261,0,0.8528,0.70043,0.78704,0.50459,0.84644,0.69521,0.77654,0.46813,1.3983,2.31852,1.019,1.78183,0,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
76,6288.68,0.94298,1.47504,0.61441,1.2744,0,0.85231,0.69006,0.77177,0.45408,0.84131,0.68136,0.7583,0.42872,1.6156,2.54329,0.99039,2.06348,0,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
77,6366.98,0.93653,1.44879,0.61545,1.26885,0,0.87709,0.71589,0.8125,0.5103,0.8633,0.71876,0.80737,0.4752,1.46325,2.39198,0.97322,1.86105,0,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
78,6445.27,0.94082,1.44151,0.61296,1.27541,0,0.87582,0.71572,0.80715,0.5219,0.86695,0.70847,0.79329,0.48409,1.38787,2.27381,0.94633,1.77875,0,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459
79,6523.43,0.91314,1.42522,0.6005,1.24778,0,0.84632,0.69788,0.78739,0.49405,0.85075,0.68258,0.7794,0.46102,1.47499,2.36911,1.03205,1.87591,0,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
80,6602.03,0.91976,1.42691,0.60952,1.25922,0,0.86148,0.67585,0.76757,0.46391,0.85407,0.67029,0.75896,0.43254,1.54906,2.46211,1.06331,1.965,0,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393
81,6680.53,0.91603,1.40731,0.60166,1.25754,0,0.8621,0.73181,0.81264,0.52319,0.85253,0.72369,0.79942,0.49134,1.3765,2.26755,0.91181,1.78416,0,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
82,6759.08,0.91729,1.41919,0.59153,1.2526,0,0.85024,0.70617,0.78682,0.50126,0.84502,0.7019,0.78285,0.46895,1.42548,2.30562,1.03086,1.84067,0,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
83,6837.6,0.91102,1.40489,0.58795,1.25025,0,0.83634,0.68078,0.76037,0.46951,0.831,0.67643,0.75318,0.43806,1.51604,2.50752,1.02471,1.95601,0,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
84,6915.89,0.90307,1.38205,0.5899,1.24116,0,0.83549,0.67736,0.77027,0.50845,0.822,0.67614,0.75787,0.47279,1.37432,2.33606,1.09289,1.77152,0,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261
85,6994.39,0.91673,1.43142,0.60391,1.25143,0,0.87842,0.67788,0.77588,0.49202,0.86641,0.67128,0.76173,0.45482,1.43118,2.33629,1.09427,1.81116,0,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
86,7072.84,0.90755,1.41205,0.59316,1.24755,0,0.84482,0.74978,0.8205,0.50625,0.83806,0.74273,0.80823,0.47238,1.48037,2.42487,0.85391,1.92674,0,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
87,7151.58,0.90577,1.39069,0.58503,1.23683,0,0.8075,0.67063,0.73832,0.42449,0.8052,0.66164,0.73179,0.39349,1.71278,2.81413,1.07624,2.23003,0,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
